epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3848.67,0.01161,1.15937,1.12952,0.85275,0.94334,0.9674,0.79386,0.01006,0.72327,0.94168,0.00144554,0.00144554,0.00144554
144,3875.45,0.01195,1.19416,1.13775,0.83213,0.97113,0.96719,0.84706,0.00734,0.64773,0.87477,0.00143854,0.00143854,0.00143854
145,3902.32,0.01198,1.18746,1.14717,0.88316,0.90389,0.96802,0.83541,0.00803,0.6756,0.89635,0.00143152,0.00143152,0.00143152
146,3929.1,0.01183,1.18074,1.14407,0.79578,0.97217,0.96182,0.83046,0.00834,0.7043,0.90761,0.00142447,0.00142447,0.00142447
147,3955.91,0.01192,1.18309,1.14101,0.81746,0.97875,0.96569,0.81624,0.00919,0.72032,0.91782,0.0014174,0.0014174,0.0014174
148,3982.73,0.01196,1.19546,1.13942,0.89767,0.86392,0.96382,0.80215,0.00936,0.73527,0.92184,0.0014103,0.0014103,0.0014103
149,4009.51,0.01186,1.18965,1.14431,0.82352,0.94287,0.96318,0.79734,0.00968,0.73928,0.94165,0.00140318,0.00140318,0.00140318
150,4036.43,0.01199,1.19802,1.14486,0.80606,0.98351,0.96434,0.79883,0.00957,0.72061,0.93174,0.00139603,0.00139603,0.00139603
151,4063.14,0.01185,1.14794,1.14114,0.83887,0.94433,0.96751,0.80765,0.00931,0.71609,0.92548,0.00138886,0.00138886,0.00138886
152,4089.85,0.01169,1.16233,1.1236,0.81422,0.98763,0.96625,0.83599,0.00798,0.67684,0.88737,0.00138166,0.00138166,0.00138166
153,4116.68,0.01188,1.1873,1.14448,0.80919,0.97935,0.96557,0.79847,0.00978,0.72604,0.94546,0.00137444,0.00137444,0.00137444
